"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800329,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800332,"Los Angeles",6037,NA,NA,433.4765553,NA,NA,55.1777236,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800406,"Los Angeles",6037,NA,NA,225.4480562,NA,NA,81.41922238,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800408,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800504,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800506,"Los Angeles",6037,NA,NA,416.923658,NA,NA,56.64057487,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037900103,"Los Angeles",6037,NA,NA,319.8803912,NA,NA,65.81547543,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037900104,"Los Angeles",6037,NA,NA,326.0915355,NA,NA,65.53317079,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037900300,"Los Angeles",6037,NA,NA,676.4151585,NA,NA,20.4029257,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037900501,"Los Angeles",6037,NA,NA,352.3862128,NA,NA,63.12074939,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037900504,"Los Angeles",6037,NA,NA,589.1415959,NA,NA,36.82792249,"CES_3.0_2017","Wed13Dec17",""
